Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result alphabet size,Result ROCA size
17389,6275,42,11114,10300,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18277,6331,41,11946,11119,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18214,5986,35,12229,11494,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17587,6148,35,11440,10691,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7800,5758,30,2042,1945,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
18273,6204,33,12068,11329,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17089,5923,30,11166,10426,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16821,5792,30,11028,10271,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17679,5855,47,11823,10989,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18410,6277,47,12133,11385,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
15735,6033,33,9702,9397,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
17393,5917,34,11475,10722,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18337,5755,152,12582,11681,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17042,5690,31,11353,10600,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18172,5896,42,12276,11534,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17609,6247,34,11363,10615,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16555,5570,35,10985,10231,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16964,6152,37,10812,10053,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17984,5752,38,12233,11424,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17450,5837,46,11613,10771,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
